Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(9:9),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat(9),2,14,0,1,15,0,0,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(10:10),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat(10),2,14,0,0,16,0,0,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(11:11),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat(11),2,14,0,0,16,0,0,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(12:12),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat(12),2,14,0,0,16,0,0,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(13:13),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat(13),2,14,0,0,16,0,0,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(14:14),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat(14),2,14,0,0,16,0,0,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(15:15),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat(15),2,14,0,0,16,0,0,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(16:16),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat(16),2,14,0,0,16,0,1,15,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(17:17),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat(17),2,14,0,1,15,0,0,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(18:18),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat(18),2,14,0,1,15,0,0,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(19:19),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat(19),2,14,0,1,15,0,0,16,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(0:4),128,farhan_logs/Log_303_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_303_Qwen1.5-1.8B-Chat,22,178,0,30,170,0,9,191,0
